town,slum,localnbc,pid,townid,nbc,oid_1,sluc,u_id,countyid,name,streetaddress,parceloid,nh_gis_id,displayid,SHAPE__Length,slu,objectid,SHAPE__Area
Portsmouth,,129,0174-0006-0000,178,25,,11,178-35269,8,CamaID: 0174-0006-0000,109 BOYD RD,485554,08178-0174-0006-0000,0174-0006-0000,428.260662773422,11,179439,8075.41741486186
Portsmouth,,129,0174-0005-0000,178,25,,11,178-35268,8,CamaID: 0174-0005-0000,99 BOYD RD,485555,08178-0174-0005-0000,0174-0005-0000,376.730539754916,11,179440,6791.60745261174
Portsmouth,,129,0174-0004-0000,178,25,,11,178-35267,8,CamaID: 0174-0004-0000,79 BOYD RD,485556,08178-0174-0004-0000,0174-0004-0000,468.648139642498,11,179441,10473.7143244636
Portsmouth,,129,0174-0003-0000,178,25,,11,178-35266,8,CamaID: 0174-0003-0000,55 BOYD RD,485557,08178-0174-0003-0000,0174-0003-0000,443.122623095517,11,179442,11168.690252949
Portsmouth,,204,0145-0041-0000,178,34,,14,178-52947,8,CamaID: 0145-0041-0004,37 COLUMBIA ST #4,485558,08178-0145-0041-0000,0145-0041-0004,617.68916495726,14,179443,16216.135050861
Portsmouth,,103B,0111-0035-0000,178,5,,11,178-33270,8,CamaID: 0111-0035-0000,251 SOUTH ST,485559,08178-0111-0035-0000,0111-0035-0000,242.769147625296,11,179444,3206.78674393724
Portsmouth,,120,0268-0011-0000,178,19,,11,178-31534,8,CamaID: 0268-0011-0000,2021 LAFAYETTE RD,485560,08178-0268-0011-0000,0268-0011-0000,517.30781983943,11,179445,16401.3409723951
Portsmouth,,125,0243-0042-0000,178,22,,11,178-30791,8,CamaID: 0243-0042-0000,64 WOODWORTH AVE,485561,08178-0243-0042-0000,0243-0042-0000,301.532544572823,11,179446,5668.95404923841
Portsmouth,,125,0243-0032-0000,178,22,,11,178-30784,8,CamaID: 0243-0032-0000,125 SWETT AVE,485562,08178-0243-0032-0000,0243-0032-0000,408.932304018755,11,179447,10096.4628704105
Portsmouth,,125,0243-0033-0000,178,22,,11,178-30785,8,CamaID: 0243-0033-0000,10 MCCLINTOCK AVE,485563,08178-0243-0033-0000,0243-0033-0000,469.61918223246,11,179448,11284.0491087255
Portsmouth,,118,0282-0003-0000,178,17,,11,178-35909,8,CamaID: 0282-0003-0000,585 OCEAN RD,485564,08178-0282-0003-0000,0282-0003-0000,989.264052394865,11,179449,56868.0386275522
Portsmouth,,118,0292-0212-0000,178,17,,11,178-32671,8,CamaID: 0292-0212-0000,32 MARIETTE DR,485565,08178-0292-0212-0000,0292-0212-0000,388.738837403055,11,179450,9504.33992855882
Portsmouth,,118,0292-0116-0000,178,17,,11,178-32578,8,CamaID: 0292-0116-0000,285 OCEAN RD,485566,08178-0292-0116-0000,0292-0116-0000,423.344207445739,11,179451,11186.1000037912
Portsmouth,,118,0292-0117-0000,178,17,,11,178-32579,8,CamaID: 0292-0117-0000,307 OCEAN RD,485567,08178-0292-0117-0000,0292-0117-0000,401.313114226681,11,179452,10525.2490993426
Portsmouth,,301,0293-0002-0000,178,56,,27,178-35981,8,CamaID: 0293-0002-0000,MARIETTE DR,485568,08178-0293-0002-0000,0293-0002-0000,1180.25227694754,27,179453,69562.151713145
Portsmouth,,118,0292-0217-0000,178,17,,11,178-32676,8,CamaID: 0292-0217-0000,49 MARIETTE DR,485569,08178-0292-0217-0000,0292-0217-0000,442.880794139699,11,179454,12399.6520833233
Portsmouth,,118,0292-0218-0000,178,17,,11,178-32677,8,CamaID: 0292-0218-0000,337 OCEAN RD,485570,08178-0292-0218-0000,0292-0218-0000,384.787907442331,11,179455,9729.19419316575
Portsmouth,,118,0292-0215-0000,178,17,,11,178-32674,8,CamaID: 0292-0215-0000,45 MARIETTE DR,485571,08178-0292-0215-0000,0292-0215-0000,519.31463541164,11,179456,14380.6531924824
Portsmouth,,301,0293-0010-0000,178,56,,27,178-35982,8,CamaID: 0293-0010-0000,OCEAN RD,485572,08178-0293-0010-0000,0293-0010-0000,4948.07668214275,27,179457,835377.66882857
Portsmouth,,118,0294-0018-0000,178,17,,11,178-32757,8,CamaID: 0294-0018-0000,419 OCEAN RD,485573,08178-0294-0018-0000,0294-0018-0000,5158.82948327223,11,179458,520647.415024879
